Epoch [1/15] Loss: 4.4110  (im=0.232, ctx=0.012, txt=3.414, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [2/15] Loss: 4.3321  (im=0.239, ctx=0.016, txt=3.922, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/15] Loss: 4.2876  (im=0.230, ctx=0.012, txt=4.088, reid=0.000, g_mse=0.107, nce=0.000, entpool=0.000)
Epoch [4/15] Loss: 4.2419  (im=0.228, ctx=0.013, txt=4.085, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [5/15] Loss: 4.2124  (im=0.234, ctx=0.010, txt=4.700, reid=0.000, g_mse=0.027, nce=0.000, entpool=0.000)
Epoch [6/15] Loss: 4.1847  (im=0.248, ctx=0.011, txt=3.812, reid=0.000, g_mse=0.004, nce=0.000, entpool=0.000)
Epoch [7/15] Loss: 4.1582  (im=0.231, ctx=0.011, txt=3.673, reid=0.000, g_mse=0.010, nce=0.000, entpool=0.000)
Epoch [8/15] Loss: 4.1328  (im=0.230, ctx=0.012, txt=3.865, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [9/15] Loss: 4.1140  (im=0.249, ctx=0.009, txt=3.455, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [10/15] Loss: 4.0880  (im=0.255, ctx=0.011, txt=3.764, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [11/15] Loss: 4.0699  (im=0.230, ctx=0.015, txt=4.199, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [12/15] Loss: 4.0500  (im=0.236, ctx=0.012, txt=3.859, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [13/15] Loss: 4.0291  (im=0.258, ctx=0.010, txt=3.219, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [14/15] Loss: 4.0191  (im=0.236, ctx=0.008, txt=3.664, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [15/15] Loss: 3.9957  (im=0.247, ctx=0.014, txt=3.927, reid=0.000, g_mse=0.001, nce=0.000, entpool=0.000)
