Epoch [1/15] Loss: 4.4176  (im=0.267, ctx=0.016, txt=3.782, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [2/15] Loss: 4.3358  (im=0.226, ctx=0.013, txt=4.368, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/15] Loss: 4.2761  (im=0.253, ctx=0.009, txt=3.637, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [4/15] Loss: 4.2405  (im=0.273, ctx=0.018, txt=3.754, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [5/15] Loss: 4.2075  (im=0.246, ctx=0.011, txt=4.093, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [6/15] Loss: 4.1829  (im=0.245, ctx=0.012, txt=4.145, reid=0.000, g_mse=0.004, nce=0.693, entpool=0.000)
Epoch [7/15] Loss: 4.1609  (im=0.256, ctx=0.009, txt=3.876, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [8/15] Loss: 4.1332  (im=0.245, ctx=0.013, txt=3.857, reid=0.000, g_mse=0.001, nce=0.000, entpool=0.000)
Epoch [9/15] Loss: 4.1117  (im=0.243, ctx=0.012, txt=3.409, reid=0.000, g_mse=0.001, nce=0.000, entpool=0.000)
Epoch [10/15] Loss: 4.0894  (im=0.239, ctx=0.020, txt=3.915, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [11/15] Loss: 4.0703  (im=0.235, ctx=0.012, txt=3.822, reid=0.000, g_mse=0.001, nce=0.000, entpool=0.000)
Epoch [12/15] Loss: 4.0509  (im=0.225, ctx=0.010, txt=3.161, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [13/15] Loss: 4.0325  (im=0.246, ctx=0.015, txt=3.573, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [14/15] Loss: 4.0150  (im=0.230, ctx=0.008, txt=2.661, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [15/15] Loss: 3.9957  (im=0.232, ctx=0.016, txt=4.026, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
